word,left_context,right_context,general_context
Plenty,[],"[('lack', 1.0), ('terms', 1.0), ('tons', 1.0), ('care', 1.0), ('chances', 1.0), ('Shape', 1.0), ('Lots', 1.0), ('fashions', 1.0), ('textures', 1.0), ('thoughts', 1.0), ('outsides', 1.0), ('layers', 1.0), ('Lack', 1.0), ('tips', 1.0), ('Kind', 1.0), ('Couple', 1.0), ('lengths', 1.0), ('kinds', 1.0), ('lots', 0.99996883), ('rest', 0.99960762), ('kind', 0.99499148), ('set', 0.98156911), ('fan', 0.98004442), ('signs', 0.97833991), ('pair', 0.96867788), ('plenty', 0.96717072), ('pairs', 0.96567845), ('end', 0.96494406), ('variety', 0.96451682), ('types', 0.96326673), ('type', 0.95357424), ('ton', 0.95210427), ('lot', 0.94533682), ('balls', 0.94118601), ('versions', 0.94043374), ('matter', 0.93921959), ('periods', 0.9380042), ('edges', 0.93562984), ('middle', 0.92536145), ('outside', 0.92428821), ('alot', 0.91909236), ('tip', 0.90998173), ('look', 0.88255632), ('edge', 0.87725127), ('inside', 0.87124765), ('styling', 0.85501146), ('feel', 0.83982217)]",[]
balls,[],"[('variety', 0.95463878), ('rest', 0.94552648), ('kind', 0.944525), ('lots', 0.9416185), ('fan', 0.94119084), ('lack', 0.94118601), ('Plenty', 0.94118601), ('terms', 0.94118601), ('tons', 0.94118601), ('care', 0.94118601), ('chances', 0.94118601), ('Shape', 0.94118601), ('Lots', 0.94118601), ('fashions', 0.94118601), ('textures', 0.94118601), ('thoughts', 0.94118601), ('outsides', 0.94118601), ('layers', 0.94118601), ('Lack', 0.94118601), ('tips', 0.94118601), ('Kind', 0.94118601), ('Couple', 0.94118601), ('lengths', 0.94118601), ('kinds', 0.94118601), ('pair', 0.93881392), ('pairs', 0.93122131), ('ton', 0.93047643), ('set', 0.92791909), ('signs', 0.92079985), ('alot', 0.916264), ('end', 0.91583735), ('plenty', 0.91028756), ('types', 0.90661317), ('lot', 0.90447474), ('matter', 0.90363961), ('type', 0.89838576), ('periods', 0.88586891), ('versions', 0.88512307), ('look', 0.88150358), ('edges', 0.8806017), ('outside', 0.87833768), ('middle', 0.87093723), ('tip', 0.85646206), ('styling', 0.83938593), ('inside', 0.83115333), ('edge', 0.83076155), ('feel', 0.82327402)]",[]
mens,[],[],[]
games,[],[],[]
space,[],[],[]
point,[],[],[]
level,[],[],[]
colors,[],"[('shoelaces', 0.84922892), ('shoes', 0.82068354), ('combinations', 0.81251109), ('Roshes', 0.81009179), ('cleats', 0.80845529), ('laces', 0.80557173), ('Toes', 0.80042529), ('nephews', 0.80042529), ('Lifters', 0.80042529), ('Kicks', 0.80042529), ('Ladies', 0.80042529), ('Laces', 0.80042529), ('Forms', 0.80042529), ('airs', 0.80042529), ('Foams', 0.80042529)]",[]
Feels,"[('Durability', 1.0), ('Light', 1.0), ('Love', 1.0), ('Sandals', 1.0), ('Fits', 1.0), ('Hubby', 1.0), ('Order', 1.0), ('Classic', 1.0), ('Note', 1.0), ('Price', 0.80170822)]","[('Cleat', 0.90112245), ('deals', 0.87188166)]",[]
Nikes,[],[],[]
runs,[],[],[]
sock,[],[],[]
reviews,[],[],[]
boyfriend,"[('granddaughter', 0.92308629), ('opinion', 0.91504097), ('Wife', 0.90832675), ('Sons', 0.90832675), ('decisions', 0.90832675), ('Knees', 0.90832675), ('husbands', 0.90832675), ('Jordans', 0.90832675), ('Family', 0.90832675), ('grandsons', 0.90832675), ('Toe', 0.90832675), ('exchanges', 0.90832675), ('Mom', 0.90832675), ('nephew', 0.90739262), ('sons', 0.89704448), ('husband', 0.8864187), ('wife', 0.88171017), ('lady', 0.86050624), ('daughters', 0.84094167), ('heels', 0.82493901)]",[],[]
